物品名称	编号	说明
(精五)紫金刀	11153	已紫金打造的刀，刀身为紫色
(精五)鸳鸯刀	11154	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
(精五)不二刀	11155	不知出处，是一把相当神秘的刀
(精一)龙王刀	11156	传说是为龙王的宝刀
(精一)五帝尊刀	11157	(强化）五帝尊刀
(精一)金龙刀	11158	(强化）金龙刀
(精二)龙王刀	11159	传说是为龙王的宝刀
(精二)五帝尊刀	11160	(强化）五帝尊刀
(精二)金龙刀	11161	(强化）金龙刀
(精三)龙王刀	11162	传说是为龙王的宝刀
(精三)五帝尊刀	11163	(强化）五帝尊刀
(精三)金龙刀	11164	(强化）金龙刀
(精四)龙王刀	11165	传说是为龙王的宝刀
(精四)五帝尊刀	11166	(强化）五帝尊刀
(精四)金龙刀	11167	(强化）金龙刀
(精五)龙王刀	11168	传说是为龙王的宝刀
(精五)五帝尊刀	11169	(强化）五帝尊刀
(精五)金龙刀	11170	(强化）金龙刀
神佑刀	11171	天神所赐的宝刀，提供玩家基本庇祐，一生只能领一次。
屠龙单刀	11172	屠龙刀(少主)
屠龙厚背刃	11173	屠龙刀(霸主)
月见刀	11174	冷月宝刀(少主)
水岳刀	11175	冷月宝刀(霸主)
猫爪	11176	具有神秘灵气的刀，能够将所受到的攻击反弹回去。
暘钰黑刃	11177	暘钰黑刃
樊天刀	11178	可镶上属性钻
神悟刀	11179	神悟刀(使用时间为现实30天)
上古贪狼刀	11180	上古贪狼刀
上古天魁刀	11181	上古天魁刀
上古破军刀	11182	上古破军刀
上古巽风刀	11183	上古巽风刀
上古艮山刀	11184	上古艮山刀
御皇刀	11185	仿战神武器所制，后世做为比武之用的刀。
天命刀	11186	承天命的武器，拥有者能在武学上更有领悟，可透过强化提升等级。
怀旧青龙刀	11187	装备后攻+330；可以存钱庄修复。
怀旧白虎刀	11188	装备后攻+530；不可以存钱庄修复。可以透过神威水晶打洞。
怀旧朱雀刀	11189	装备后攻+620；不可以存钱庄修复。可以透过神威水晶打洞。
怀旧玄武刀	11190	装备后攻+800；不可以存钱庄修复。可以透过神威水晶打洞。
怀古刀	11191	装备后攻+1200；不可以存钱庄修复。可以透过神威水晶打洞。
寒月刀	11192	寒月刀
斩魔刃	11193	浊阴刃(少主)
血饮刀	11194	青龙偃月刀(少主)
镇军血刃	11195	浊阴刃(霸主)
龙纹刀	11196	青龙偃月刀(霸主)
浊阴刃	11197	浊阴刃
青龙偃月刀	11198	青龙偃月刀
砍柴刀	11199	一把锈迹斑斑的砍柴刀。
经典纪念刀	11200	精选武器；装备后提高悟性+3。此装备不可交易。
(晶1)樱花村日刀	11201	樱花村日刀
(晶1)霸体钢日刀	11202	霸体钢日刀
(晶1)韬击灭日刀	11203	韬击灭日刀
(晶1)无想祭日禅刀	11204	无想祭日禅刀
(晶1)空明烙日刀	11205	空明烙日刀
(晶1)飞翼划日刀	11206	飞翼划日刀
(晶1)皓命日弯刀	11207	皓命日弯刀
(晶1)图日厚背刀	11208	图日厚背刀
(晶1)炽日侍卫刀	11209	炽日侍卫刀
(晶1)三魂断日刀	11210	三魂断日刀
(晶2)樱花村日刀	11211	樱花村日刀
(晶2)霸体钢日刀	11212	霸体钢日刀
(晶2)韬击灭日刀	11213	韬击灭日刀
(晶2)无想祭日禅刀	11214	无想祭日禅刀
(晶2)空明烙日刀	11215	空明烙日刀
(晶2)飞翼划日刀	11216	飞翼划日刀
(晶2)皓命日弯刀	11217	皓命日弯刀
(晶2)图日厚背刀	11218	图日厚背刀
(晶2)炽日侍卫刀	11219	炽日侍卫刀
(晶2)三魂断日刀	11220	三魂断日刀
(晶3)樱花村日刀	11221	樱花村日刀
(晶3)霸体钢日刀	11222	霸体钢日刀
(晶3)韬击灭日刀	11223	韬击灭日刀
(晶3)无想祭日禅刀	11224	无想祭日禅刀
(晶3)空明烙日刀	11225	空明烙日刀
(晶3)飞翼划日刀	11226	飞翼划日刀
(晶3)皓命日弯刀	11227	皓命日弯刀
(晶3)图日厚背刀	11228	图日厚背刀
(晶3)炽日侍卫刀	11229	炽日侍卫刀
(晶3)三魂断日刀	11230	三魂断日刀
(晶4)樱花村日刀	11231	樱花村日刀
(晶4)霸体钢日刀	11232	霸体钢日刀
(晶4)韬击灭日刀	11233	韬击灭日刀
(晶4)无想祭日禅刀	11234	无想祭日禅刀
(晶4)空明烙日刀	11235	空明烙日刀
(晶4)飞翼划日刀	11236	飞翼划日刀
(晶4)皓命日弯刀	11237	皓命日弯刀
(晶4)图日厚背刀	11238	图日厚背刀
(晶4)炽日侍卫刀	11239	炽日侍卫刀
(晶4)三魂断日刀	11240	三魂断日刀
(晶5)樱花村日刀	11241	樱花村日刀
(晶5)霸体钢日刀	11242	霸体钢日刀
(晶5)韬击灭日刀	11243	韬击灭日刀
(晶5)无想祭日禅刀	11244	无想祭日禅刀
(晶5)空明烙日刀	11245	空明烙日刀
(晶5)飞翼划日刀	11246	飞翼划日刀
(晶5)皓命日弯刀	11247	皓命日弯刀
(晶5)图日厚背刀	11248	图日厚背刀
(晶5)炽日侍卫刀	11249	炽日侍卫刀
(晶5)三魂断日刀	11250	三魂断日刀
(晶6)樱花村日刀	11251	樱花村日刀
(晶6)霸体钢日刀	11252	霸体钢日刀
(晶6)韬击灭日刀	11253	韬击灭日刀
(晶6)无想祭日禅刀	11254	无想祭日禅刀
(晶6)空明烙日刀	11255	空明烙日刀
(晶6)飞翼划日刀	11256	飞翼划日刀
(晶6)皓命日弯刀	11257	皓命日弯刀
(晶6)图日厚背刀	11258	图日厚背刀
(晶6)炽日侍卫刀	11259	炽日侍卫刀
(晶6)三魂断日刀	11260	三魂断日刀
(晶7)樱花村日刀	11261	樱花村日刀
(晶7)霸体钢日刀	11262	霸体钢日刀
(晶7)韬击灭日刀	11263	韬击灭日刀
(晶7)无想祭日禅刀	11264	无想祭日禅刀
(晶7)空明烙日刀	11265	空明烙日刀
(晶7)飞翼划日刀	11266	飞翼划日刀
(晶7)皓命日弯刀	11267	皓命日弯刀
(晶7)图日厚背刀	11268	图日厚背刀
(晶7)炽日侍卫刀	11269	炽日侍卫刀
(晶7)三魂断日刀	11270	三魂断日刀
(晶8)樱花村日刀	11271	樱花村日刀
(晶8)霸体钢日刀	11272	霸体钢日刀
(晶8)韬击灭日刀	11273	韬击灭日刀
(晶8)无想祭日禅刀	11274	无想祭日禅刀
(晶8)空明烙日刀	11275	空明烙日刀
(晶8)飞翼划日刀	11276	飞翼划日刀
(晶8)皓命日弯刀	11277	皓命日弯刀
(晶8)图日厚背刀	11278	图日厚背刀
(晶8)炽日侍卫刀	11279	炽日侍卫刀
(晶8)三魂断日刀	11280	三魂断日刀
(晶9)樱花村日刀	11281	樱花村日刀
(晶9)霸体钢日刀	11282	霸体钢日刀
(晶9)韬击灭日刀	11283	韬击灭日刀
(晶9)无想祭日禅刀	11284	无想祭日禅刀
(晶9)空明烙日刀	11285	空明烙日刀
(晶9)飞翼划日刀	11286	飞翼划日刀
(晶9)皓命日弯刀	11287	皓命日弯刀
(晶9)图日厚背刀	11288	图日厚背刀
(晶9)炽日侍卫刀	11289	炽日侍卫刀
(晶9)三魂断日刀	11290	三魂断日刀
(晶10)樱花村日刀	11291	樱花村日刀
(晶10)霸体钢日刀	11292	霸体钢日刀
(晶10)韬击灭日刀	11293	韬击灭日刀
(晶10)无想祭日刀	11294	无想祭日禅刀
(晶10)空明烙日刀	11295	空明烙日刀
(晶10)飞翼划日刀	11296	飞翼划日刀
(晶10)皓命日弯刀	11297	皓命日弯刀
(晶10)图日厚背刀	11298	图日厚背刀
(晶10)炽日侍卫刀	11299	炽日侍卫刀
(晶10)三魂断日刀	11300	三魂断日刀
(晶1)樱花村月刀	11301	樱花村月刀
(晶1)霸体钢月刀	11302	霸体钢月刀
(晶1)韬击灭月刀	11303	韬击灭月刀
(晶1)无想祭月禅刀	11304	无想祭月禅刀
(晶1)空明烙月刀	11305	空明烙月刀
(晶1)飞翼划月刀	11306	飞翼划月刀
(晶1)皓命月弯刀	11307	皓命月弯刀
(晶1)图月厚背刀	11308	图月厚背刀
(晶1)虚月侍卫刀	11309	虚月侍卫刀
(晶1)三魂断月刀	11310	三魂断月刀
(晶2)樱花村月刀	11311	樱花村月刀
(晶2)霸体钢月刀	11312	霸体钢月刀
(晶2)韬击灭月刀	11313	韬击灭月刀
(晶2)无想祭月禅刀	11314	无想祭月禅刀
(晶2)空明烙月刀	11315	空明烙月刀
(晶2)飞翼划月刀	11316	飞翼划月刀
(晶2)皓命月弯刀	11317	皓命月弯刀
(晶2)图月厚背刀	11318	图月厚背刀
(晶2)虚月侍卫刀	11319	虚月侍卫刀
(晶2)三魂断月刀	11320	三魂断月刀
(晶3)樱花村月刀	11321	樱花村月刀
(晶3)霸体钢月刀	11322	霸体钢月刀
(晶3)韬击灭月刀	11323	韬击灭月刀
(晶3)无想祭月禅刀	11324	无想祭月禅刀
(晶3)空明烙月刀	11325	空明烙月刀
(晶3)飞翼划月刀	11326	飞翼划月刀
(晶3)皓命月弯刀	11327	皓命月弯刀
(晶3)图月厚背刀	11328	图月厚背刀
(晶3)虚月侍卫刀	11329	虚月侍卫刀
(晶3)三魂断月刀	11330	三魂断月刀
(晶4)樱花村月刀	11331	樱花村月刀
(晶4)霸体钢月刀	11332	霸体钢月刀
(晶4)韬击灭月刀	11333	韬击灭月刀
(晶4)无想祭月禅刀	11334	无想祭月禅刀
(晶4)空明烙月刀	11335	空明烙月刀
(晶4)飞翼划月刀	11336	飞翼划月刀
(晶4)皓命月弯刀	11337	皓命月弯刀
(晶4)图月厚背刀	11338	图月厚背刀
(晶4)虚月侍卫刀	11339	虚月侍卫刀
(晶4)三魂断月刀	11340	三魂断月刀
(晶5)樱花村月刀	11341	樱花村月刀
(晶5)霸体钢月刀	11342	霸体钢月刀
(晶5)韬击灭月刀	11343	韬击灭月刀
(晶5)无想祭月禅刀	11344	无想祭月禅刀
(晶5)空明烙月刀	11345	空明烙月刀
(晶5)飞翼划月刀	11346	飞翼划月刀
(晶5)皓命月弯刀	11347	皓命月弯刀
(晶5)图月厚背刀	11348	图月厚背刀
(晶5)虚月侍卫刀	11349	虚月侍卫刀
(晶5)三魂断月刀	11350	三魂断月刀
(晶6)樱花村月刀	11351	樱花村月刀
(晶6)霸体钢月刀	11352	霸体钢月刀
(晶6)韬击灭月刀	11353	韬击灭月刀
(晶6)无想祭月禅刀	11354	无想祭月禅刀
(晶6)空明烙月刀	11355	空明烙月刀
(晶6)飞翼划月刀	11356	飞翼划月刀
(晶6)皓命月弯刀	11357	皓命月弯刀
(晶6)图月厚背刀	11358	图月厚背刀
(晶6)虚月侍卫刀	11359	虚月侍卫刀
(晶6)三魂断月刀	11360	三魂断月刀
(晶7)樱花村月刀	11361	樱花村月刀
(晶7)霸体钢月刀	11362	霸体钢月刀
(晶7)韬击灭月刀	11363	韬击灭月刀
(晶7)无想祭月禅刀	11364	无想祭月禅刀
(晶7)空明烙月刀	11365	空明烙月刀
(晶7)飞翼划月刀	11366	飞翼划月刀
(晶7)皓命月弯刀	11367	皓命月弯刀
(晶7)图月厚背刀	11368	图月厚背刀
(晶7)虚月侍卫刀	11369	虚月侍卫刀
(晶7)三魂断月刀	11370	三魂断月刀
(晶8)樱花村月刀	11371	樱花村月刀
(晶8)霸体钢月刀	11372	霸体钢月刀
(晶8)韬击灭月刀	11373	韬击灭月刀
(晶8)无想祭月禅刀	11374	无想祭月禅刀
(晶8)空明烙月刀	11375	空明烙月刀
(晶8)飞翼划月刀	11376	飞翼划月刀
(晶8)皓命月弯刀	11377	皓命月弯刀
(晶8)图月厚背刀	11378	图月厚背刀
(晶8)虚月侍卫刀	11379	虚月侍卫刀
(晶8)三魂断月刀	11380	三魂断月刀
(晶9)樱花村月刀	11381	樱花村月刀
(晶9)霸体钢月刀	11382	霸体钢月刀
(晶9)韬击灭月刀	11383	韬击灭月刀
(晶9)无想祭月禅刀	11384	无想祭月禅刀
(晶9)空明烙月刀	11385	空明烙月刀
(晶9)飞翼划月刀	11386	飞翼划月刀
(晶9)皓命月弯刀	11387	皓命月弯刀
(晶9)图月厚背刀	11388	图月厚背刀
(晶9)虚月侍卫刀	11389	虚月侍卫刀
(晶9)三魂断月刀	11390	三魂断月刀
(晶10)樱花村月刀	11391	樱花村月刀
(晶10)霸体钢月刀	11392	霸体钢月刀
(晶10)韬击灭月刀	11393	韬击灭月刀
(晶10)无想祭月刀	11394	无想祭月禅刀
(晶10)空明烙月刀	11395	空明烙月刀
(晶10)飞翼划月刀	11396	飞翼划月刀
(晶10)皓命月弯刀	11397	皓命月弯刀
(晶10)图月厚背刀	11398	图月厚背刀
(晶10)虚月侍卫刀	11399	虚月侍卫刀
(晶10)三魂断月刀	11400	三魂断月刀
(晶1)樱花村星刀	11401	樱花村星刀
(晶1)霸体钢星刀	11402	霸体钢星刀
(晶1)韬击灭星刀	11403	韬击灭星刀
(晶1)无想祭星禅刀	11404	无想祭星禅刀
(晶1)空明烙星刀	11405	空明烙星刀
(晶1)飞翼划星刀	11406	飞翼划星刀
(晶1)皓命星弯刀	11407	皓命星弯刀
(晶1)图星厚背刀	11408	图星厚背刀
(晶1)隐星侍卫刀	11409	隐星侍卫刀
(晶1)三魂断星刀	11410	三魂断星刀
(晶2)樱花村星刀	11411	樱花村星刀
(晶2)霸体钢星刀	11412	霸体钢星刀
(晶2)韬击灭星刀	11413	韬击灭星刀
(晶2)无想祭星禅刀	11414	无想祭星禅刀
(晶2)空明烙星刀	11415	空明烙星刀
(晶2)飞翼划星刀	11416	飞翼划星刀
(晶2)皓命星弯刀	11417	皓命星弯刀
(晶2)图星厚背刀	11418	图星厚背刀
(晶2)隐星侍卫刀	11419	隐星侍卫刀
(晶2)三魂断星刀	11420	三魂断星刀
(晶3)樱花村星刀	11421	樱花村星刀
(晶3)霸体钢星刀	11422	霸体钢星刀
(晶3)韬击灭星刀	11423	韬击灭星刀
(晶3)无想祭星刀	11424	无想祭星禅刀
(晶3)空明烙星刀	11425	空明烙星刀
(晶3)飞翼划星刀	11426	飞翼划星刀
(晶3)皓命星弯刀	11427	皓命星弯刀
(晶3)图星厚背刀	11428	图星厚背刀
(晶3)隐星侍卫刀	11429	隐星侍卫刀
(晶3)三魂断星刀	11430	三魂断星刀
(晶4)樱花村星刀	11431	樱花村星刀
(晶4)霸体钢星刀	11432	霸体钢星刀
(晶4)韬击灭星刀	11433	韬击灭星刀
(晶4)无想祭星刀	11434	无想祭星禅刀
(晶4)空明烙星刀	11435	空明烙星刀
(晶4)飞翼划星刀	11436	飞翼划星刀
(晶4)皓命星弯刀	11437	皓命星弯刀
(晶4)图星厚背刀	11438	图星厚背刀
(晶4)隐星侍卫刀	11439	隐星侍卫刀
(晶4)三魂断星刀	11440	三魂断星刀
(晶5)樱花村星刀	11441	樱花村星刀
(晶5)霸体钢星刀	11442	霸体钢星刀
(晶5)韬击灭星刀	11443	韬击灭星刀
(晶5)无想祭星刀	11444	无想祭星禅刀
(晶5)空明烙星刀	11445	空明烙星刀
(晶5)飞翼划星刀	11446	飞翼划星刀
(晶5)皓命星弯刀	11447	皓命星弯刀
(晶5)图星厚背刀	11448	图星厚背刀
(晶5)隐星侍卫刀	11449	隐星侍卫刀
(晶5)三魂断星刀	11450	三魂断星刀
(晶6)樱花村星刀	11451	樱花村星刀
(晶6)霸体钢星刀	11452	霸体钢星刀
(晶6)韬击灭星刀	11453	韬击灭星刀
(晶6)无想祭星刀	11454	无想祭星禅刀
(晶6)空明烙星刀	11455	空明烙星刀
(晶6)飞翼划星刀	11456	飞翼划星刀
(晶6)皓命星弯刀	11457	皓命星弯刀
(晶6)图星厚背刀	11458	图星厚背刀
(晶6)隐星侍卫刀	11459	隐星侍卫刀
(晶6)三魂断星刀	11460	三魂断星刀
(晶7)樱花村星刀	11461	樱花村星刀
(晶7)霸体钢星刀	11462	霸体钢星刀
(晶7)韬击灭星刀	11463	韬击灭星刀
(晶7)无想祭星刀	11464	无想祭星禅刀
(晶7)空明烙星刀	11465	空明烙星刀
(晶7)飞翼划星刀	11466	飞翼划星刀
(晶7)皓命星弯刀	11467	皓命星弯刀
(晶7)图星厚背刀	11468	图星厚背刀
(晶7)隐星侍卫刀	11469	隐星侍卫刀
(晶7)三魂断星刀	11470	三魂断星刀
(晶8)樱花村星刀	11471	樱花村星刀
(晶8)霸体钢星刀	11472	霸体钢星刀
(晶8)韬击灭星刀	11473	韬击灭星刀
(晶8)无想祭星刀	11474	无想祭星禅刀
(晶8)空明烙星刀	11475	空明烙星刀
(晶8)飞翼划星刀	11476	飞翼划星刀
(晶8)皓命星弯刀	11477	皓命星弯刀
(晶8)图星厚背刀	11478	图星厚背刀
(晶8)隐星侍卫刀	11479	隐星侍卫刀
(晶8)三魂断星刀	11480	三魂断星刀
(晶9)樱花村星刀	11481	樱花村星刀
(晶9)霸体钢星刀	11482	霸体钢星刀
(晶9)韬击灭星刀	11483	韬击灭星刀
(晶9)无想祭星刀	11484	无想祭星禅刀
(晶9)空明烙星刀	11485	空明烙星刀
(晶9)飞翼划星刀	11486	飞翼划星刀
(晶9)皓命星弯刀	11487	皓命星弯刀
(晶9)图星厚背刀	11488	图星厚背刀
(晶9)隐星侍卫刀	11489	隐星侍卫刀
(晶9)三魂断星刀	11490	三魂断星刀
(晶10)樱花村星刀	11491	樱花村星刀
(晶10)霸体钢星刀	11492	霸体钢星刀
(晶10)韬击灭星刀	11493	韬击灭星刀
(晶10)无想祭星刀	11494	无想祭星禅刀
(晶10)空明烙星刀	11495	空明烙星刀
(晶10)飞翼划星刀	11496	飞翼划星刀
(晶10)皓命星弯刀	11497	皓命星弯刀
(晶10)图星厚背刀	11498	图星厚背刀
(晶10)隐星侍卫刀	11499	隐星侍卫刀
(晶10)三魂断星刀	11500	三魂断星刀
辟日短刀	11501	辟日短刀
饮血幻日刀	11502	饮血幻日刀
昊日魔刀	11503	昊日魔刀
击日两刃刀	11504	击日两刃刀
日隐屠刀	11505	日隐屠刀
紫枭奕日刀	11506	紫枭奕日刀
寇日锁链刀	11507	寇日锁链刀
弒日蝴蝶刀	11508	弒日蝴蝶刀
无日无云刀	11509	无日无云刀
烈日开山刀	11510	烈日开山刀
瀛日霸刀	11511	瀛日霸刀
极意圆日刀	11512	极意圆日刀
慧日柳叶刀	11513	慧日柳叶刀
鬼日斩马刀	11514	鬼日斩马刀
冥日砍刀	11515	冥日砍刀
浑沌邀日刀	11516	浑沌邀日刀
魔日妖刀	11517	魔日妖刀
红日匠神之刀	11518	红日匠神之刀
血不沾日刀	11519	血不沾日刀
